params,impl,cycles,end,end_fpss,fpss_avg_fpu_latency,fpss_avg_load_latency,fpss_fpu_issues,fpss_fpu_latency,fpss_fpu_occupancy,fpss_fpu_rel_occupancy,fpss_issues,fpss_load_latency,fpss_loads,fpss_occupancy,fpss_section_latency,fseq_fpu_yield,fseq_yield,snitch_avg_load_latency,snitch_fseq_offloads,snitch_fseq_rel_offloads,snitch_issues,snitch_load_latency,snitch_loads,snitch_occupancy,start,tend,total_ipc,tstart,fpss_fpu_fmadd_issues,fpss_stores
16x16xf64,snitch_stream,3140,3992,3989,2.702980837473385,0.0,2818,7617,0.8974522292993631,0.9940035273368608,2835,0,0,0.9028662420382164,0,3.331374853113984,3.331374853113984,0,851,0.736159169550173,305,0,0,0.0971337579617834,853,0.0,1.0,0.0,2304,
16x16xf64,baseline,10564,11424,11421,2.998698481561822,1.6627756160830092,2305,6912,0.2181938659598636,0.4729175215428806,4874,3846,2313,0.4613782658084059,0,1.0,1.0,0,4874,0.8138253464685257,1115,0,0,0.1055471412343809,861,0.0,0.5669254070427868,0.0,2048,256.0
4x16xf64,snitch_stream,870,1638,1635,2.698300283286119,0.0,706,1905,0.8114942528735632,0.9929676511954992,711,0,0,0.8172413793103448,0,3.3069767441860467,3.3069767441860467,0,215,0.6554878048780488,113,0,0,0.1298850574712643,769,0.0,0.9471264367816092,0.0,576,
4x16xf64,baseline,2671,3439,3436,2.9948006932409013,1.6456140350877193,577,1728,0.2160239610632721,0.4764657308009909,1211,938,570,0.453388244103332,0,1.0,1.0,0,1211,0.8132975151108126,278,0,0,0.1040808685885436,769,0.0,0.5574691126918757,0.0,512,64.0
8x16xf64,snitch_stream,1623,2410,2407,2.701418439716312,0.0,1410,3809,0.8687615526802218,0.9936575052854124,1419,0,0,0.8743068391866913,0,3.323185011709602,3.323185011709602,0,427,0.706953642384106,177,0,0,0.1090573012939001,788,0.0,0.9833641404805916,0.0,1152,
8x16xf64,baseline,5318,6131,6128,2.997398091934085,1.6589147286821706,1153,3456,0.2168108311395261,0.4721539721539721,2442,1926,1161,0.4591951861602106,0,1.0,1.0,0,2442,0.8126455906821963,563,0,0,0.1058668672433245,814,0.0,0.5650620534035351,0.0,1024,128.0
12x16xf64,snitch_stream,2377,3186,3183,2.7024597918637654,0.0,2114,5713,0.8893563315103071,0.9938881053126468,2127,0,0,0.8948254101809003,0,3.328638497652582,3.328638497652582,0,639,0.7261363636363637,241,0,0,0.1013883045856121,810,0.0,0.9962137147665124,0.0,1728,
12x16xf64,baseline,7940,8776,8773,2.998264893001735,1.6614853195164077,1729,5184,0.2177581863979849,0.4726626571897211,3658,2886,1737,0.4607052896725441,0,1.0,1.0,0,3658,0.8134311763397821,839,0,0,0.1056675062972292,837,0.0,0.5663727959697733,0.0,1536,192.0
16x4xf64,snitch_stream,906,1706,1703,2.698300283286119,0.0,706,1905,0.7792494481236203,0.9764868603042876,723,0,0,0.7980132450331126,0,3.185022026431718,3.185022026431718,0,227,0.5230414746543779,207,0,0,0.2284768211920529,801,0.0,1.0264900662251657,0.0,576,
16x4xf64,baseline,2491,3271,3268,2.9948006932409013,1.3737373737373737,577,1728,0.2316338819751104,0.6151385927505331,938,408,297,0.3765556001605781,0,1.0,1.0,0,938,0.929633300297324,71,0,0,0.0285026093938177,781,0.0,0.4050582095543958,0.0,512,64.0
16x8xf64,snitch_stream,1647,2434,2431,2.701418439716312,0.0,1410,3809,0.8561020036429873,0.9880868955851436,1427,0,0,0.8664238008500303,0,3.2804597701149425,3.2804597701149425,0,435,0.643491124260355,241,0,0,0.1463266545233758,788,0.0,1.012750455373406,0.0,1152,
16x8xf64,baseline,5318,6131,6128,2.997398091934085,1.6589147286821706,1153,3456,0.2168108311395261,0.4721539721539721,2442,1926,1161,0.4591951861602106,0,1.0,1.0,0,2442,0.8019704433497536,603,0,0,0.1133884919142534,814,0.0,0.5725836780744641,0.0,1024,128.0
16x12xf64,snitch_stream,2388,3197,3194,2.7024597918637654,0.0,2114,5713,0.8852596314907872,0.992022524636321,2131,0,0,0.8923785594639866,0,3.3141524105754274,3.314152410575428,0,643,0.7019650655021834,273,0,0,0.114321608040201,810,0.0,1.0067001675041876,0.0,1728,
16x12xf64,baseline,7940,8776,8773,2.998264893001735,1.6614853195164077,1729,5184,0.2177581863979849,0.4726626571897211,3658,2886,1737,0.4607052896725441,0,1.0,1.0,0,3658,0.8098295328758025,859,0,0,0.1081863979848866,837,0.0,0.5688916876574307,0.0,1536,192.0
