params,impl,cycles,end,end_fpss,fpss_avg_fpu_latency,fpss_avg_load_latency,fpss_fpu_issues,fpss_fpu_latency,fpss_fpu_occupancy,fpss_fpu_rel_occupancy,fpss_issues,fpss_load_latency,fpss_loads,fpss_occupancy,fpss_section_latency,fseq_fpu_yield,fseq_yield,snitch_avg_load_latency,snitch_fseq_offloads,snitch_fseq_rel_offloads,snitch_issues,snitch_load_latency,snitch_loads,snitch_occupancy,start,tend,total_ipc,tstart,fpss_fpu_fmadd_issues,fpss_stores
32x32xf64,linalg_xdsl,1103,2127,2123,2.997073170731708,0.0,1025,3072,0.929283771532185,0.9980525803310614,1027,0,0,0.9310970081595648,0,205.4,205.4,0,5,0.1923076923076923,21,0,0,0.0190389845874886,1025,0.0,0.9501359927470536,0.0,0,
32x32xf64,baseline,9262,10278,10275,2.997073170731708,1.0,1025,3072,0.1106672424962211,0.2501830607761777,4097,2048,2048,0.4423450658605053,0,1.0,1.0,0,4097,0.4440229760485532,5130,0,0,0.5538760526884042,1017,0.0,0.9962211185489096,0.0,0,1024.0
4x32xf64,linalg_xdsl,190,983,979,2.976744186046512,0.0,129,384,0.6789473684210526,0.9847328244274808,131,0,0,0.6894736842105263,0,26.200000000000003,26.2,0,5,0.2,20,0,0,0.1052631578947368,794,0.0,0.7947368421052632,0.0,0,
4x32xf64,baseline,1210,1990,1987,2.976744186046512,1.0,129,384,0.1066115702479338,0.2514619883040935,513,256,256,0.4239669421487603,0,1.0,1.0,0,513,0.4411006018916595,650,0,0,0.5371900826446281,781,0.0,0.9611570247933884,0.0,0,128.0
8x32xf64,linalg_xdsl,336,1162,1158,2.988326848249028,0.0,257,768,0.7648809523809523,0.9922779922779924,259,0,0,0.7708333333333334,0,51.8,51.8,0,5,0.2,20,0,0,0.0595238095238095,827,0.0,0.8303571428571429,0.0,0,
8x32xf64,baseline,2357,3174,3171,2.988326848249028,1.0,257,768,0.1090369113279592,0.2507317073170731,1025,512,512,0.4348748408994484,0,1.0,1.0,0,1025,0.442573402417962,1291,0,0,0.5477301654645736,818,0.0,0.982605006364022,0.0,0,256.0
12x32xf64,linalg_xdsl,468,1332,1328,2.9922077922077923,0.0,385,1152,0.8226495726495726,0.9948320413436692,387,0,0,0.8269230769230769,0,77.4,77.4,0,5,0.1851851851851851,22,0,0,0.047008547008547,865,0.0,0.8739316239316239,0.0,0,
12x32xf64,baseline,3502,4359,4356,2.9922077922077923,1.0,385,1152,0.1099371787549971,0.2504879635653871,1537,768,768,0.4388920616790405,0,1.0,1.0,0,1537,0.443194925028835,1931,0,0,0.5513992004568817,858,0.0,0.9902912621359224,0.0,0,384.0
16x32xf64,linalg_xdsl,591,1476,1472,2.9941520467836256,0.0,513,1536,0.868020304568528,0.996116504854369,515,0,0,0.871404399323181,0,103.0,103.0,0,5,0.1923076923076923,21,0,0,0.0355329949238578,886,0.0,0.9069373942470388,0.0,0,
16x32xf64,baseline,4654,5535,5532,2.9941520467836256,1.0,513,1536,0.1102277610657499,0.2503660322108345,2049,1024,1024,0.4402664374731413,0,1.0,1.0,0,2049,0.4436025113660966,2570,0,0,0.5522131499785131,882,0.0,0.9924795874516544,0.0,0,512.0
