params,impl,cycles,end,end_fpss,fpss_avg_fpu_latency,fpss_avg_load_latency,fpss_fpu_issues,fpss_fpu_latency,fpss_fpu_occupancy,fpss_fpu_rel_occupancy,fpss_issues,fpss_load_latency,fpss_loads,fpss_occupancy,fpss_section_latency,fseq_fpu_yield,fseq_yield,snitch_avg_load_latency,snitch_fseq_offloads,snitch_fseq_rel_offloads,snitch_issues,snitch_load_latency,snitch_loads,snitch_occupancy,start,tend,total_ipc,tstart,fpss_fpu_fmadd_issues,fpss_stores
32x32xf64,linalg_xdsl,1069,1785,1782,0.9990253411306044,0,1026,1025,0.95977549111319,0.9980544747081712,1028,0,0,0.961646398503274,0,171.33333333333334,171.33333333333334,0,6,0.3,14,0,0,0.0130963517305893,717,0.0,0.9747427502338634,0.0,0,
32x32xf64,baseline,1185,1901,1898,0.0,0,1,0,0.00084388185654,0.0009756097560975,1025,0,0,0.8649789029535865,0,1.0,1.0,0,1025,0.907883082373782,104,0,0,0.0877637130801687,717,0.0,0.9527426160337552,0.0,0,1024.0
4x32xf64,linalg_xdsl,175,895,892,0.9923076923076924,0,130,129,0.7428571428571429,0.9848484848484848,132,0,0,0.7542857142857143,0,22.0,22.0,0,6,0.3,14,0,0,0.08,721,0.0,0.8342857142857143,0.0,0,
4x32xf64,baseline,235,959,956,0.0,0,1,0,0.0042553191489361,0.0077519379844961,129,0,0,0.548936170212766,0,1.0,1.0,0,129,0.9555555555555556,6,0,0,0.025531914893617,725,0.0,0.574468085106383,0.0,0,128.0
8x32xf64,linalg_xdsl,303,1026,1023,0.996124031007752,0,258,257,0.8514851485148515,0.9923076923076924,260,0,0,0.858085808580858,0,43.33333333333333,43.333333333333336,0,6,0.2727272727272727,16,0,0,0.0528052805280528,724,0.0,0.9108910891089108,0.0,0,
8x32xf64,baseline,346,1075,1072,0.0,0,1,0,0.0028901734104046,0.0038910505836575,257,0,0,0.7427745664739884,0,1.0,1.0,0,257,0.8771331058020477,36,0,0,0.1040462427745664,730,0.0,0.846820809248555,0.0,0,256.0
12x32xf64,linalg_xdsl,429,1145,1142,0.9974093264248703,0,386,385,0.8997668997668997,0.9948453608247424,388,0,0,0.9044289044289044,0,64.66666666666666,64.66666666666667,0,6,0.3,14,0,0,0.0326340326340326,717,0.0,0.9370629370629372,0.0,0,
12x32xf64,baseline,485,1201,1198,0.0,0,1,0,0.002061855670103,0.0025974025974025,385,0,0,0.7938144329896907,0,1.0,1.0,0,385,0.8974358974358975,44,0,0,0.090721649484536,717,0.0,0.8845360824742268,0.0,0,384.0
16x32xf64,linalg_xdsl,557,1273,1270,0.9980544747081712,0,514,513,0.9228007181328546,0.996124031007752,516,0,0,0.926391382405745,0,86.0,86.0,0,6,0.3,14,0,0,0.0251346499102333,717,0.0,0.9515260323159784,0.0,0,
16x32xf64,baseline,625,1341,1338,0.0,0,1,0,0.0016,0.0019493177387914,513,0,0,0.8208,0,1.0,1.0,0,513,0.9015817223198594,56,0,0,0.0896,717,0.0,0.9104,0.0,0,512.0
20x32xf64,linalg_xdsl,685,1401,1398,0.9984423676012462,0,642,641,0.9372262773722628,0.9968944099378882,644,0,0,0.94014598540146,0,107.33333333333331,107.33333333333331,0,6,0.3,14,0,0,0.0204379562043795,717,0.0,0.9605839416058396,0.0,0,
20x32xf64,baseline,765,1481,1478,0.0,0,1,0,0.0013071895424836,0.0015600624024961,641,0,0,0.8379084967320262,0,1.0,1.0,0,641,0.9040902679830748,68,0,0,0.0888888888888888,717,0.0,0.9267973856209152,0.0,0,640.0
24x32xf64,linalg_xdsl,813,1529,1526,0.9987012987012988,0,770,769,0.947109471094711,0.9974093264248703,772,0,0,0.949569495694957,0,128.66666666666669,128.66666666666666,0,6,0.3,14,0,0,0.017220172201722,717,0.0,0.966789667896679,0.0,0,
24x32xf64,baseline,905,1621,1618,0.0,0,1,0,0.0011049723756906,0.0013003901170351,769,0,0,0.8497237569060774,0,1.0,1.0,0,769,0.9057714958775028,80,0,0,0.0883977900552486,717,0.0,0.938121546961326,0.0,0,768.0
28x32xf64,linalg_xdsl,941,1657,1654,0.9988864142538976,0,898,897,0.9543039319872476,0.9977777777777778,900,0,0,0.9564293304994688,0,150.0,150.0,0,6,0.3,14,0,0,0.0148777895855472,717,0.0,0.971307120085016,0.0,0,
28x32xf64,baseline,1045,1761,1758,0.0,0,1,0,0.000956937799043,0.0011148272017837,897,0,0,0.8583732057416268,0,1.0,1.0,0,897,0.9069767441860463,92,0,0,0.0880382775119617,717,0.0,0.9464114832535884,0.0,0,896.0
32x4xf64,linalg_xdsl,175,895,892,0.9923076923076924,0,130,129,0.7428571428571429,0.9848484848484848,132,0,0,0.7542857142857143,0,22.0,22.0,0,6,0.3,14,0,0,0.08,721,0.0,0.8342857142857143,0.0,0,
32x4xf64,baseline,250,952,949,0.0,0,1,0,0.004,0.0077519379844961,129,0,0,0.516,0,1.0,1.0,0,129,0.5536480686695279,104,0,0,0.416,703,0.0,0.932,0.0,0,128.0
32x8xf64,linalg_xdsl,303,1026,1023,0.996124031007752,0,258,257,0.8514851485148515,0.9923076923076924,260,0,0,0.858085808580858,0,43.33333333333333,43.333333333333336,0,6,0.2727272727272727,16,0,0,0.0528052805280528,724,0.0,0.9108910891089108,0.0,0,
32x8xf64,baseline,393,1122,1119,0.0,0,1,0,0.0025445292620865,0.0038910505836575,257,0,0,0.6539440203562341,0,1.0,1.0,0,257,0.7041095890410959,108,0,0,0.2748091603053435,730,0.0,0.9287531806615776,0.0,0,256.0
32x12xf64,linalg_xdsl,429,1145,1142,0.9974093264248703,0,386,385,0.8997668997668997,0.9948453608247424,388,0,0,0.9044289044289044,0,64.66666666666666,64.66666666666667,0,6,0.3,14,0,0,0.0326340326340326,717,0.0,0.9370629370629372,0.0,0,
32x12xf64,baseline,510,1234,1231,0.0,0,1,0,0.0019607843137254,0.0025974025974025,385,0,0,0.7549019607843137,0,1.0,1.0,0,385,0.787321063394683,104,0,0,0.2039215686274509,725,0.0,0.9588235294117646,0.0,0,384.0
32x16xf64,linalg_xdsl,557,1273,1270,0.9980544747081712,0,514,513,0.9228007181328546,0.996124031007752,516,0,0,0.926391382405745,0,86.0,86.0,0,6,0.3,14,0,0,0.0251346499102333,717,0.0,0.9515260323159784,0.0,0,
32x16xf64,baseline,652,1368,1365,0.0,0,1,0,0.0015337423312883,0.0019493177387914,513,0,0,0.7868098159509203,0,1.0,1.0,0,513,0.8314424635332253,104,0,0,0.1595092024539877,717,0.0,0.946319018404908,0.0,0,512.0
32x20xf64,linalg_xdsl,685,1401,1398,0.9984423676012462,0,642,641,0.9372262773722628,0.9968944099378882,644,0,0,0.94014598540146,0,107.33333333333331,107.33333333333331,0,6,0.3,14,0,0,0.0204379562043795,717,0.0,0.9605839416058396,0.0,0,
