kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt,min_llvm_mlir
conv2d_d1_s1_3x3 12x12xf64,5974,,,1820,,5974
conv2d_d1_s1_3x3 12x16xf64,7940,,,2377,,7940
conv2d_d1_s1_3x3 12x4xf64,1882,,,707,,1882
conv2d_d1_s1_3x3 12x8xf64,4006,,,1265,,4006
conv2d_d1_s1_3x3 16x12xf64,7940,,,2388,,7940
conv2d_d1_s1_3x3 16x16xf64,10564,,,3140,,10564
conv2d_d1_s1_3x3 16x4xf64,2491,,,906,,2491
conv2d_d1_s1_3x3 16x8xf64,5318,,,1647,,5318
conv2d_d1_s1_3x3 4x12xf64,2019,,,686,,2019
conv2d_d1_s1_3x3 4x16xf64,2671,,,870,,2671
conv2d_d1_s1_3x3 4x4xf64,667,,,325,,667
conv2d_d1_s1_3x3 4x8xf64,1266,,,498,,1266
conv2d_d1_s1_3x3 8x12xf64,4006,,,1255,,4006
conv2d_d1_s1_3x3 8x16xf64,5318,,,1623,,5318
conv2d_d1_s1_3x3 8x4xf64,1275,,,508,,1275
conv2d_d1_s1_3x3 8x8xf64,2694,,,881,,2694
ddot 128xf64,956,965,,206,577,956
dense 8x8xf64,3206,3530,,2731,2723,3206
dsum 12x12xf64,1354,,206,,,1354
dsum 12x16xf64,1786,,254,,,1786
dsum 12x4xf64,490,,110,,,490
dsum 12x8xf64,922,,158,,,922
dsum 16x12xf64,1786,,254,,,1786
dsum 16x16xf64,2357,,336,,,2357
dsum 16x4xf64,634,,126,,,634
dsum 16x8xf64,1210,,190,,,1210
dsum 4x12xf64,490,,110,,,490
dsum 4x16xf64,634,,126,,,634
dsum 4x4xf64,129,,73,,,129
dsum 4x8xf64,239,,94,,,239
dsum 8x12xf64,922,,158,,,922
dsum 8x16xf64,1210,,190,,,1210
dsum 8x4xf64,239,,94,,,239
dsum 8x8xf64,634,,126,,,634
fill 12x12xf64,210,,191,,,210
fill 12x16xf64,288,,239,,,288
fill 12x4xf64,106,,95,,,106
fill 12x8xf64,188,,143,,,188
fill 16x12xf64,270,,239,,,270
fill 16x16xf64,349,,303,,,349
fill 16x4xf64,130,,111,,,130
fill 16x8xf64,232,,175,,,232
fill 4x12xf64,106,,95,,,106
fill 4x16xf64,130,,111,,,130
fill 4x4xf64,50,,59,,,50
fill 4x8xf64,74,,79,,,74
fill 8x12xf64,178,,143,,,178
fill 8x16xf64,235,,175,,,235
fill 8x4xf64,74,,79,,,74
fill 8x8xf64,130,,111,,,130
matmul 4x12x12xf64,2813,,,894,,2813
matmul 4x12x16xf64,3706,,,1132,,3706
matmul 4x12x20xf64,4595,,,1365,,4595
matmul 4x12x24xf64,5489,,,1603,,5489
matmul 4x12x28xf64,6379,,,1838,,6379
matmul 4x12x32xf64,7282,,,2102,,7282
matmul 4x12x36xf64,8167,,,2319,,8167
matmul 4x12x40xf64,9044,,,2565,,9044
matmul 4x12x44xf64,9935,,,2837,,9935
