kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
conv2d_d1_s1_3x3 12x12xf64,0.22,,0.63,,
conv2d_d1_s1_3x3 12x16xf64,0.22,,0.69,,
conv2d_d1_s1_3x3 12x4xf64,0.23,,0.79,,
conv2d_d1_s1_3x3 12x8xf64,0.22,,0.54,,
conv2d_d1_s1_3x3 16x12xf64,0.22,,0.63,,
conv2d_d1_s1_3x3 16x16xf64,0.22,,0.69,,
conv2d_d1_s1_3x3 16x4xf64,0.23,,0.82,,
conv2d_d1_s1_3x3 16x8xf64,0.22,,0.54,,
conv2d_d1_s1_3x3 4x12xf64,0.21,,0.59,,
conv2d_d1_s1_3x3 4x16xf64,0.22,,0.66,,
conv2d_d1_s1_3x3 4x4xf64,0.22,,0.59,,
conv2d_d1_s1_3x3 4x8xf64,0.23,,0.50,,
conv2d_d1_s1_3x3 8x12xf64,0.22,,0.62,,
conv2d_d1_s1_3x3 8x16xf64,0.22,,0.68,,
conv2d_d1_s1_3x3 8x4xf64,0.23,,0.73,,
conv2d_d1_s1_3x3 8x8xf64,0.21,,0.53,,
ddot 128xf64,0.13,0.13,,0.66,0.22
dense 8x8xf64,0.20,0.18,,0.26,0.26
dsum 12x12xf64,0.11,,0.70,,
dsum 12x16xf64,0.11,,0.76,,
dsum 12x4xf64,0.10,,0.45,,
dsum 12x8xf64,0.11,,0.61,,
dsum 16x12xf64,0.11,,0.76,,
dsum 16x16xf64,0.11,,0.76,,
dsum 16x4xf64,0.10,,0.52,,
dsum 16x8xf64,0.11,,0.68,,
dsum 4x12xf64,0.10,,0.45,,
dsum 4x16xf64,0.10,,0.52,,
dsum 4x4xf64,0.13,,0.23,,
dsum 4x8xf64,0.14,,0.35,,
dsum 8x12xf64,0.11,,0.61,,
dsum 8x16xf64,0.11,,0.68,,
dsum 8x4xf64,0.14,,0.35,,
dsum 8x8xf64,0.10,,0.52,,
fill 12x12xf64,0.00,,0.76,,
fill 12x16xf64,0.00,,0.81,,
fill 12x4xf64,0.01,,0.53,,
fill 12x8xf64,0.01,,0.69,,
fill 16x12xf64,0.00,,0.81,,
fill 16x16xf64,0.00,,0.85,,
fill 16x4xf64,0.01,,0.59,,
fill 16x8xf64,0.00,,0.74,,
fill 4x12xf64,0.01,,0.53,,
fill 4x16xf64,0.01,,0.59,,
fill 4x4xf64,0.02,,0.31,,
fill 4x8xf64,0.01,,0.43,,
fill 8x12xf64,0.01,,0.69,,
fill 8x16xf64,0.00,,0.74,,
fill 8x4xf64,0.01,,0.43,,
fill 8x8xf64,0.01,,0.59,,
matmul 1x400x25xf64,,,0.97,,
matmul 4x12x12xf64,0.21,,0.82,,
matmul 4x12x16xf64,0.21,,0.85,,
matmul 4x12x20xf64,0.21,,0.87,,
matmul 4x12x24xf64,0.21,,0.88,,
matmul 4x12x28xf64,0.21,,0.90,,
matmul 4x12x32xf64,0.21,,0.90,,
matmul 4x12x36xf64,0.21,,0.91,,
matmul 4x12x40xf64,0.22,,0.92,,
matmul 4x12x44xf64,0.22,,0.91,,
matmul 4x12x48xf64,0.22,,0.92,,
matmul 4x12x4xf64,0.18,,0.66,,
matmul 4x12x52xf64,0.22,,0.92,,
matmul 4x12x56xf64,0.22,,0.92,,
matmul 4x12x60xf64,0.22,,0.93,,
matmul 4x12x64xf64,0.22,,0.92,,
matmul 4x12x8xf64,0.20,,0.77,,
matmul 4x16x12xf64,0.21,,0.85,,
matmul 4x16x16xf64,0.21,,0.87,,
matmul 4x16x20xf64,0.22,,0.89,,
matmul 4x16x24xf64,0.22,,0.90,,
matmul 4x16x28xf64,0.22,,0.91,,
matmul 4x16x32xf64,0.22,,0.91,,
matmul 4x16x36xf64,0.22,,0.92,,
matmul 4x16x40xf64,0.22,,0.93,,
matmul 4x16x44xf64,0.22,,0.92,,
matmul 4x16x48xf64,0.22,,0.93,,
matmul 4x16x4xf64,0.18,,0.71,,
matmul 4x16x52xf64,0.22,,0.93,,
matmul 4x16x56xf64,0.22,,0.93,,
matmul 4x16x60xf64,0.22,,0.94,,
matmul 4x16x64xf64,0.22,,0.93,,
matmul 4x16x8xf64,0.21,,0.81,,
matmul 4x20x12xf64,0.22,,0.87,,
matmul 4x20x16xf64,0.22,,0.89,,
matmul 4x20x20xf64,0.22,,0.90,,
matmul 4x20x24xf64,0.22,,0.91,,
matmul 4x20x28xf64,0.22,,0.92,,
matmul 4x20x32xf64,0.22,,0.92,,
matmul 4x20x36xf64,0.22,,0.93,,
matmul 4x20x40xf64,0.22,,0.93,,
matmul 4x20x44xf64,0.22,,0.93,,
matmul 4x20x48xf64,0.22,,0.94,,
matmul 4x20x4xf64,0.19,,0.74,,
matmul 4x20x52xf64,0.22,,0.94,,
matmul 4x20x56xf64,0.22,,0.94,,
matmul 4x20x60xf64,0.22,,0.94,,
matmul 4x20x64xf64,0.22,,0.94,,
matmul 4x20x8xf64,0.21,,0.84,,
matmul 4x24x12xf64,0.22,,0.88,,
matmul 4x24x16xf64,0.22,,0.90,,
matmul 4x24x20xf64,0.22,,0.92,,
matmul 4x24x24xf64,0.22,,0.92,,
matmul 4x24x28xf64,0.22,,0.93,,
matmul 4x24x32xf64,0.22,,0.93,,
matmul 4x24x36xf64,0.22,,0.93,,
matmul 4x24x40xf64,0.22,,0.94,,
matmul 4x24x44xf64,0.22,,0.94,,
matmul 4x24x48xf64,0.22,,0.94,,
matmul 4x24x4xf64,0.20,,0.77,,
matmul 4x24x52xf64,0.22,,0.95,,
matmul 4x24x56xf64,0.22,,0.94,,
matmul 4x24x60xf64,0.22,,0.95,,
matmul 4x24x64xf64,0.22,,0.95,,
matmul 4x24x8xf64,0.21,,0.85,,
matmul 4x28x12xf64,0.22,,0.89,,
matmul 4x28x16xf64,0.22,,0.91,,
matmul 4x28x20xf64,0.22,,0.92,,
matmul 4x28x24xf64,0.22,,0.93,,
matmul 4x28x28xf64,0.22,,0.93,,
matmul 4x28x32xf64,0.22,,0.94,,
matmul 4x28x36xf64,0.22,,0.94,,
matmul 4x28x40xf64,0.22,,0.94,,
matmul 4x28x44xf64,0.22,,0.94,,
matmul 4x28x48xf64,0.22,,0.94,,
matmul 4x28x4xf64,0.20,,0.79,,
matmul 4x28x52xf64,0.22,,0.95,,
matmul 4x28x56xf64,0.22,,0.95,,
matmul 4x28x60xf64,0.22,,0.95,,
matmul 4x28x64xf64,0.22,,0.95,,
matmul 4x28x8xf64,0.21,,0.87,,
matmul 4x32x12xf64,0.14,,0.90,,
matmul 4x32x16xf64,0.14,,0.92,,
matmul 4x32x20xf64,0.15,,0.93,,
matmul 4x32x24xf64,0.15,,0.93,,
matmul 4x32x28xf64,0.15,,0.94,,
matmul 4x32x32xf64,0.15,,0.94,,
matmul 4x32x36xf64,0.15,,0.94,,
matmul 4x32x40xf64,0.15,,0.95,,
matmul 4x32x44xf64,0.15,,0.94,,
matmul 4x32x48xf64,0.15,,0.95,,
matmul 4x32x4xf64,0.16,,0.83,,
matmul 4x32x52xf64,0.15,,0.95,,
matmul 4x32x56xf64,0.15,,0.95,,
matmul 4x32x60xf64,0.15,,0.95,,
matmul 4x32x64xf64,0.15,,0.95,,
matmul 4x32x8xf64,0.14,,0.88,,
matmul 4x36x12xf64,0.14,,0.91,,
matmul 4x36x16xf64,0.14,,0.92,,
matmul 4x36x20xf64,0.14,,0.93,,
matmul 4x36x24xf64,0.14,,0.94,,
matmul 4x36x28xf64,0.14,,0.94,,
matmul 4x36x32xf64,0.14,,0.94,,
matmul 4x36x36xf64,0.14,,0.94,,
matmul 4x36x40xf64,0.14,,0.95,,
matmul 4x36x44xf64,0.14,,0.95,,
matmul 4x36x48xf64,0.14,,0.95,,
