kernels,baseline,linalg,linalg_xdsl,scf_xdsl,snitch_stream,snrt
conv2d_d1_s1_3x3 1x1x8x8xf64,0.50,0.54,,,0.34,0.32
ddot 128xf64,0.95,0.94,,0.63,0.76,0.25
dense 8x8xf64,0.51,0.55,,,0.39,0.33
dsum 12x12xf64,,,0.81,,,
dsum 12x16xf64,,,0.85,,,
dsum 12x4xf64,,,0.65,,,
dsum 12x8xf64,,,0.75,,,
dsum 16x12xf64,,,0.85,,,
dsum 16x16xf64,,,0.83,,,
dsum 16x4xf64,,,0.69,,,
dsum 16x8xf64,,,0.79,,,
dsum 4x12xf64,,,0.65,,,
dsum 4x16xf64,,,0.69,,,
dsum 4x4xf64,,,0.53,,,
dsum 4x8xf64,,,0.59,,,
dsum 8x12xf64,,,0.75,,,
dsum 8x16xf64,,,0.79,,,
dsum 8x4xf64,,,0.59,,,
dsum 8x8xf64,,,0.69,,,
fill 12x12xf64,,,0.85,,,
fill 12x16xf64,,,0.88,,,
fill 12x4xf64,,,0.69,,,
fill 12x8xf64,,,0.80,,,
fill 16x12xf64,,,0.88,,,
fill 16x16xf64,,,0.91,,,
fill 16x4xf64,,,0.74,,,
fill 16x8xf64,,,0.83,,,
fill 4x12xf64,,,0.69,,,
fill 4x16xf64,,,0.74,,,
fill 4x4xf64,,,0.58,,,
fill 4x8xf64,,,0.63,,,
fill 8x12xf64,,,0.80,,,
fill 8x16xf64,,,0.83,,,
fill 8x4xf64,,,0.63,,,
fill 8x8xf64,,,0.74,,,
matmul 4x4x4xf64,,,,,0.58,
matmul 4x4x8xf64,,,,,0.76,
matmul 4x8x4xf64,,,,,0.72,
matmul 4x8x8xf64,,,,,0.84,
matmul 8x4x4xf64,,,,,0.76,
matmul 8x4x8xf64,,,,,0.88,
matmul 8x8x4xf64,,,,,0.86,
matmul 8x8x8xf64,,,,,0.91,
pooling_nchw_max_d1_s2_3x3 1x1x16x16xf64,0.86,0.75,,,0.60,0.58
pooling_nchw_sum_d1_s2_3x3 1x1x16x16xf64,0.47,0.50,,,0.34,0.32
relu 12x12xf64,,,0.80,,,
relu 12x16xf64,,,0.84,,,
relu 12x4xf64,,,0.63,,,
relu 12x8xf64,,,0.74,,,
relu 16x12xf64,,,0.84,,,
relu 16x16xf64,,,0.88,,,
relu 16x4xf64,,,0.67,,,
relu 16x8xf64,,,0.78,,,
relu 4x12xf64,,,0.63,,,
relu 4x16xf64,,,0.67,,,
relu 4x4xf64,,,0.46,,,
relu 4x8xf64,,,0.56,,,
relu 8x12xf64,,,0.74,,,
relu 8x16xf64,,,0.78,,,
relu 8x4xf64,,,0.56,,,
relu 8x8xf64,,,0.67,,,
