params,impl,cycles,end,end_fpss,fpss_avg_fpu_latency,fpss_avg_load_latency,fpss_fpu_issues,fpss_fpu_latency,fpss_fpu_occupancy,fpss_fpu_rel_occupancy,fpss_issues,fpss_load_latency,fpss_loads,fpss_occupancy,fpss_section_latency,fseq_fpu_yield,fseq_yield,snitch_avg_load_latency,snitch_fseq_offloads,snitch_fseq_rel_offloads,snitch_issues,snitch_load_latency,snitch_loads,snitch_occupancy,start,tend,total_ipc,tstart,fpss_fpu_fmadd_issues,fpss_stores
16x16xf64,snitch_stream,3149,4089,4086,2.702980837473385,0.0,2818,7617,0.8948872657986663,0.9887719298245614,2850,0,0,0.9050492219752302,0,3.2909930715935336,3.2909930715935336,0,866,0.7609841827768014,272,0,0,0.0863766275007939,941,0.0,0.991425849476024,0.0,0,
16x16xf64,baseline,10036,10979,10976,2.998535871156662,1.3333333333333333,2049,6144,0.2041650059784774,0.4445649815578216,4609,3072,2304,0.4592467118373854,0,1.0,1.0,0,4609,0.798786828422877,1161,0,0,0.1156835392586688,944,0.0,0.5749302510960542,0.0,0,256.0
4x16xf64,snitch_stream,850,1665,1662,2.698300283286119,0.0,706,1905,0.8305882352941176,0.988795518207283,714,0,0,0.84,0,3.275229357798165,3.2752293577981653,0,218,0.7032258064516129,92,0,0,0.108235294117647,816,0.0,0.9482352941176472,0.0,0,
4x16xf64,baseline,2511,3312,3309,2.9941520467836256,1.3992869875222815,513,1536,0.2043010752688172,0.4507908611599297,1138,785,561,0.4532058940661091,0,1.0,1.0,0,1138,0.803105151729005,279,0,0,0.1111111111111111,802,0.0,0.5643170051772202,0.0,0,64.0
8x16xf64,snitch_stream,1621,2465,2462,2.701418439716312,0.0,1410,3809,0.8698334361505243,0.9887798036465638,1426,0,0,0.8797038864898211,0,3.2857142857142856,3.2857142857142856,0,434,0.7406143344709898,152,0,0,0.0937692782233189,845,0.0,0.97347316471314,0.0,0,
8x16xf64,baseline,5057,5904,5901,2.997073170731708,1.3333333333333333,1025,3072,0.2026893415068222,0.4446854663774403,2305,1536,1152,0.4558038362665612,0,1.0,1.0,0,2305,0.797301971636112,586,0,0,0.115878979632193,848,0.0,0.5716828158987541,0.0,0,128.0
12x16xf64,snitch_stream,2385,3269,3266,2.7024597918637654,0.0,2114,5713,0.8863731656184486,0.9887745556594948,2138,0,0,0.8964360587002096,0,3.2892307692307687,3.289230769230769,0,650,0.7540603248259861,212,0,0,0.0888888888888888,885,0.0,0.9853249475890984,0.0,0,
12x16xf64,baseline,7553,8448,8445,2.998048145738452,1.3333333333333333,1537,4608,0.203495299880842,0.444605148973098,3457,2304,1728,0.4576989275784456,0,1.0,1.0,0,3457,0.7981990302470561,874,0,0,0.1157156096915133,896,0.0,0.573414537269959,0.0,0,192.0
16x4xf64,snitch_stream,930,1740,1737,2.698300283286119,0.0,706,1905,0.7591397849462366,0.956639566395664,738,0,0,0.7935483870967742,0,3.049586776859504,3.049586776859504,0,242,0.580335731414868,175,0,0,0.1881720430107527,811,0.0,0.9817204301075269,0.0,0,
16x4xf64,baseline,2211,3018,3015,2.9941520467836256,1.0740740740740742,513,1536,0.2320217096336499,0.5084241823587711,1009,464,432,0.4563545906829488,0,1.0,1.0,0,1009,0.9316712834718376,74,0,0,0.0334690185436454,808,0.0,0.4898236092265943,0.0,0,64.0
16x8xf64,snitch_stream,1677,2521,2518,2.701418439716312,0.0,1410,3809,0.8407871198568873,0.9778085991678224,1442,0,0,0.8598688133571855,0,3.2044444444444444,3.2044444444444444,0,450,0.6838905775075987,208,0,0,0.1240310077519379,845,0.0,0.9838998211091234,0.0,0,
16x8xf64,baseline,5044,5901,5898,2.997073170731708,1.3333333333333333,1025,3072,0.2032117367168913,0.4446854663774403,2305,1536,1152,0.4569785884218874,0,1.0,1.0,0,2305,0.9688944934846574,74,0,0,0.014670896114195,858,0.0,0.4716494845360824,0.0,0,128.0
16x12xf64,snitch_stream,2413,3297,3294,2.7024597918637654,0.0,2114,5713,0.8760878574388727,0.9850885368126748,2146,0,0,0.8893493576460837,0,3.2613981762917934,3.2613981762917934,0,658,0.732739420935412,240,0,0,0.099461251554082,885,0.0,0.9888106092001656,0.0,0,
16x12xf64,baseline,7553,8448,8445,2.998048145738452,1.3333333333333333,1537,4608,0.203495299880842,0.444605148973098,3457,2304,1728,0.4576989275784456,0,1.0,1.0,0,3457,0.7923447169378868,906,0,0,0.1199523368198067,896,0.0,0.5776512643982523,0.0,0,192.0
