test,params,impl,cycles,end,end_fpss,fpss_avg_fpu_latency,fpss_avg_load_latency,fpss_fpu_fmadd_issues,fpss_fpu_issues,fpss_fpu_latency,fpss_fpu_occupancy,fpss_fpu_rel_occupancy,fpss_issues,fpss_load_latency,fpss_loads,fpss_occupancy,fpss_section_latency,fpss_stores,fseq_fpu_yield,fseq_yield,section,snitch_avg_load_latency,snitch_fseq_offloads,snitch_fseq_rel_offloads,snitch_issues,snitch_load_latency,snitch_loads,snitch_occupancy,snitch_stores,start,tend,total_ipc,tstart
exp,112xf16,baseline,11232,13829,13826,0.0,0,336,1569,0,0.13969017094017094,0.5834882856080327,2689,0,0,0.23940527065527065,0,0,1.0,1.0,1,7.6304985337243405,2689,0.47804444444444444,2936,2602,341,0.2613960113960114,229,2598,13833,0.500801282051282,2600
exp,112xf32,baseline,10558,13218,13215,0.0,0,336,1345,0,0.12739155143019512,0.5456389452332657,2465,0,0,0.23347224853191892,0,0,1.0,1.0,1,7.639296187683285,2465,0.4563969635252731,2936,2605,341,0.27808297025951884,229,2661,13222,0.5115552187914377,2663
exp,112xf64,baseline,12022,14599,14596,0.0,0,784,1457,0,0.121194476792547,0.48165289256198346,3025,0,0,0.2516220262851439,0,0,1.0,1.0,1,12.653421633554084,3025,0.4890864995957963,3160,5732,453,0.2628514390284478,229,2578,14603,0.5144734653135917,2580
exp,16xf16,baseline,1636,4228,4225,0.0,0,48,225,0,0.13753056234718827,0.5844155844155844,385,0,0,0.23533007334963324,0,0,1.0,1.0,1,7.686274509803922,385,0.5099337748344371,370,392,51,0.22616136919315402,35,2593,4232,0.4614914425427873,2595
exp,16xf32,baseline,1542,4150,4147,0.0,0,48,193,0,0.1251621271076524,0.546742209631728,353,0,0,0.22892347600518806,0,0,1.0,1.0,1,7.745098039215686,353,0.4889196675900277,369,395,51,0.23929961089494164,35,2609,4154,0.4682230869001297,2611
exp,16xf64,baseline,1748,4283,4280,0.0,0,112,209,0,0.11956521739130435,0.48267898383371827,433,0,0,0.2477116704805492,0,0,1.0,1.0,1,12.35820895522388,433,0.5191846522781774,401,828,67,0.2294050343249428,35,2536,4287,0.477116704805492,2538
exp,32xf16,baseline,3236,5828,5825,0.0,0,96,449,0,0.13875154511742893,0.5838751625487646,769,0,0,0.2376390605686032,0,0,1.0,1.0,1,7.6767676767676765,769,0.5157612340710932,722,760,99,0.223114956736712,67,2593,5832,0.4607540173053152,2595
exp,32xf32,baseline,3047,5666,5663,0.0,0,96,385,0,0.1263537906137184,0.5460992907801419,705,0,0,0.23137512307187397,0,0,1.0,1.0,1,7.707070707070707,705,0.4940434477925718,722,763,99,0.2369543813587135,67,2620,5670,0.46832950443058746,2622
exp,32xf64,baseline,3467,6028,6025,0.0,0,224,417,0,0.1202768964522642,0.4820809248554913,865,0,0,0.2494952408422267,0,0,1.0,1.0,1,12.549618320610687,865,0.5239248940036342,786,1644,131,0.22670897029131815,67,2562,6032,0.47620421113354483,2564
exp,48xf16,baseline,4832,7424,7421,0.0,0,144,673,0,0.13927980132450332,0.5836947094535994,1153,0,0,0.23861754966887416,0,0,1.0,1.0,1,7.583892617449664,1153,0.4754639175257732,1272,1130,149,0.2632450331125828,101,2593,7428,0.5018625827814569,2595
exp,48xf32,baseline,4551,7175,7172,0.0,0,144,577,0,0.12678532190727312,0.5458845789971618,1057,0,0,0.23225664689079323,0,0,1.0,1.0,1,7.6938775510204085,1057,0.4960112623181605,1074,1131,147,0.23599208965062624,99,2625,7179,0.46824873654141946,2627
exp,48xf64,baseline,5189,7747,7744,0.0,0,336,625,0,0.12044709963384082,0.4818812644564379,1297,0,0,0.24995182116014647,0,0,1.0,1.0,1,12.615384615384615,1297,0.5257397648966355,1170,2460,195,0.22547697051455,99,2559,7751,0.4754287916746965,2561
exp,64xf16,baseline,6432,9024,9021,0.0,0,192,897,0,0.1394589552238806,0.5836044242029929,1537,0,0,0.23896144278606965,0,0,1.0,1.0,1,7.604060913705584,1537,0.4765891472868217,1688,1498,197,0.26243781094527363,133,2593,9028,0.5013992537313433,2595
exp,64xf32,baseline,6046,8706,8703,0.0,0,192,769,0,0.12719153159113464,0.5457771469127041,1409,0,0,0.23304664240820377,0,0,1.0,1.0,1,7.619289340101523,1409,0.45495640942847915,1688,1501,197,0.2791928547800199,133,2661,8710,0.5122394971882236,2663
exp,64xf64,baseline,6886,9458,9455,0.0,0,448,833,0,0.12097008422887016,0.4817813765182186,1729,0,0,0.2510891664246297,0,0,1.0,1.0,1,12.582375478927203,1729,0.48772919605077575,1816,3284,261,0.26372349695033404,133,2573,9462,0.5148126633749637,2575
exp,80xf16,baseline,8032,10629,10626,0.0,0,240,1121,0,0.13956673306772907,0.5835502342529932,1921,0,0,0.2391683266932271,0,0,1.0,1.0,1,7.616326530612245,1921,0.47726708074534163,2104,1866,245,0.26195219123505975,165,2598,10633,0.5011205179282868,2600
exp,80xf32,baseline,7550,10210,10207,0.0,0,240,961,0,0.12728476821192053,0.5457126632595116,1761,0,0,0.2332450331125828,0,0,1.0,1.0,1,7.628571428571429,1761,0.455627425614489,2104,1869,245,0.2786754966887417,165,2661,10214,0.5119205298013245,2663
exp,80xf64,baseline,8598,11170,11167,0.0,0,560,1041,0,0.12107466852756454,0.4817214252660805,2161,0,0,0.2513375203535706,0,0,1.0,1.0,1,12.615384615384615,2161,0.48836158192090395,2264,4100,325,0.2633170504768551,165,2573,11174,0.5146545708304258,2575
exp,96xf16,baseline,9632,12229,12226,0.0,0,288,1345,0,0.13963870431893688,0.5835140997830802,2305,0,0,0.2393064784053156,0,0,1.0,1.0,1,7.624573378839591,2305,0.47772020725388603,2520,2234,293,0.2616279069767442,197,2598,12233,0.5009343853820598,2600
exp,96xf32,baseline,9054,11714,11711,0.0,0,288,1153,0,0.1273470289374862,0.5456696639848556,2113,0,0,0.23337751270156837,0,0,1.0,1.0,1,7.63481228668942,2113,0.45607597668897043,2520,2237,293,0.2783300198807157,197,2661,11718,0.5117075325822841,2663
exp,96xf64,baseline,10310,12882,12879,0.0,0,672,1249,0,0.12114451988360815,0.48168145005784807,2593,0,0,0.25150339476236666,0,0,1.0,1.0,1,12.637532133676093,2593,0.4887841658812441,2712,4916,389,0.26304558680892337,197,2573,12886,0.51454898157129,2575
