test,params,impl,cycles,end,end_fpss,fpss_avg_fpu_latency,fpss_avg_load_latency,fpss_fpu_fmadd_issues,fpss_fpu_issues,fpss_fpu_latency,fpss_fpu_occupancy,fpss_fpu_rel_occupancy,fpss_issues,fpss_load_latency,fpss_loads,fpss_occupancy,fpss_section_latency,fpss_stores,fseq_fpu_yield,fseq_yield,section,snitch_avg_load_latency,snitch_fseq_offloads,snitch_fseq_rel_offloads,snitch_issues,snitch_load_latency,snitch_loads,snitch_occupancy,snitch_stores,start,tend,total_ipc,tstart
conv2d_d1_s1_3x3,12x12xf64,baseline,7373,9521,9518,0.0,0,1152,1297,0,0.1759121117591211,0.32159682618398217,4033,0,0,0.5469957954699579,0,0,1.0,1.0,1,0.0,4033,0.861936311177602,646,0,0,0.08761698087616981,0,2149,9525,0.6346127763461278,2151
conv2d_d1_s1_3x3,12x12xf64,linalg,6726,8817,8814,0.0,0,1296,1297,0,0.1928337793636634,0.44878892733564013,2890,0,0,0.42967588462682127,0,0,1.0,1.0,1,3.75,2890,0.7157008420009906,1148,15,4,0.17068093963722866,304,2092,8821,0.6003568242640499,2094
conv2d_d1_s1_3x3,12x12xf64,linalg_xdsl,2482,4611,4608,0.0,0,1296,1586,0,0.6390008058017728,0.9850931677018634,1610,0,0,0.6486704270749396,0,0,3.259109311740891,3.2591093117408905,1,0.0,494,0.3877551020408163,780,0,0,0.314262691377921,0,2130,4615,0.9629331184528607,2132
conv2d_d1_s1_3x3,12x16xf64,baseline,9817,11989,11986,0.0,0,1536,1729,0,0.17612305184883364,0.3215547703180212,5377,0,0,0.5477233370683509,0,0,1.0,1.0,1,0.0,5377,0.8651649235720033,838,0,0,0.08536212692268513,0,2173,11993,0.6330854639910359,2175
conv2d_d1_s1_3x3,12x16xf64,linalg,8934,11077,11074,0.0,0,1728,1729,0,0.19353033355719723,0.4490909090909091,3850,0,0,0.43093798970226105,0,0,1.0,1.0,1,3.75,3850,0.7217847769028871,1484,15,4,0.16610700693978062,400,2144,11081,0.5970449966420417,2146
conv2d_d1_s1_3x3,12x16xf64,linalg_xdsl,3034,5140,5137,0.0,0,1728,2114,0,0.6967699406723797,0.9887745556594949,2138,0,0,0.7046802900461437,0,0,3.2892307692307687,3.289230769230769,1,0.0,650,0.4433833560709413,816,0,0,0.26895187870797627,0,2107,5144,0.9736321687541201,2109
conv2d_d1_s1_3x3,12x20xf64,baseline,12265,14426,14423,0.0,0,1920,2161,0,0.17619241744802283,0.32152953429549175,6721,0,0,0.5479820627802691,0,0,1.0,1.0,1,0.0,6721,0.867113920784415,1030,0,0,0.08397880146759071,0,2162,14430,0.6319608642478598,2164
conv2d_d1_s1_3x3,12x20xf64,linalg,11149,13318,13315,0.0,0,2160,2161,0,0.19382904296349449,0.44927234927234927,4810,0,0,0.43142882769755136,0,0,1.0,1.0,1,3.75,4810,0.7254901960784313,1820,15,4,0.1632433402098843,496,2170,13322,0.5946721679074356,2172
conv2d_d1_s1_3x3,12x20xf64,linalg_xdsl,3578,5707,5704,0.0,0,2160,2642,0,0.7384013415315819,0.9909977494373593,2666,0,0,0.7451089994410285,0,0,3.307692307692308,3.3076923076923075,1,0.0,806,0.48612786489746684,852,0,0,0.23812185578535494,0,2130,5711,0.9832308552263834,2132
conv2d_d1_s1_3x3,12x4xf64,baseline,2445,4559,4556,0.0,0,384,433,0,0.17709611451942742,0.32193308550185873,1345,0,0,0.5501022494887525,0,0,1.0,1.0,1,0.0,1345,0.9593437945791726,57,0,0,0.023312883435582823,0,2115,4563,0.5734151329243353,2117
conv2d_d1_s1_3x3,12x4xf64,linalg,2084,4150,4147,0.0,0,432,433,0,0.20777351247600767,0.5742705570291777,754,0,0,0.3618042226487524,0,0,1.0,1.0,1,3.75,754,0.748015873015873,254,15,4,0.1218809980806142,112,2067,4154,0.4836852207293666,2069
conv2d_d1_s1_3x3,12x4xf64,linalg_xdsl,628,2732,2729,0.0,0,432,530,0,0.8439490445859873,0.9962406015037594,532,0,0,0.8471337579617835,0,0,3.325,3.325,1,0.0,160,0.6477732793522267,87,0,0,0.13853503184713375,0,2105,2736,0.9856687898089173,2107
conv2d_d1_s1_3x3,12x8xf64,baseline,4925,7058,7055,0.0,0,768,865,0,0.17563451776649747,0.32168092227593903,2689,0,0,0.545989847715736,0,0,1.0,1.0,1,0.0,2689,0.8555520203627108,454,0,0,0.09218274111675127,0,2134,7062,0.6381725888324873,2136
conv2d_d1_s1_3x3,12x8xf64,linalg,4518,6594,6591,0.0,0,864,865,0,0.1914563966356795,0.4481865284974093,1930,0,0,0.4271801682160248,0,0,1.0,1.0,1,3.75,1930,0.7038657913931436,812,15,4,0.17972554227534307,208,2077,6598,0.6069057104913679,2079
