test,params,impl,cycles,end,end_fpss,fpss_avg_fpu_latency,fpss_avg_load_latency,fpss_fpu_fmadd_issues,fpss_fpu_issues,fpss_fpu_latency,fpss_fpu_occupancy,fpss_fpu_rel_occupancy,fpss_issues,fpss_load_latency,fpss_loads,fpss_occupancy,fpss_section_latency,fpss_stores,fseq_fpu_yield,fseq_yield,section,snitch_avg_load_latency,snitch_fseq_offloads,snitch_fseq_rel_offloads,snitch_issues,snitch_load_latency,snitch_loads,snitch_occupancy,snitch_stores,start,tend,total_ipc,tstart
conv2d_d1_s1_3x3,4x4xf64,baseline,825,2929,2926,0.0,0,128,145,0,0.17575757575757575,0.32293986636971045,449,0,0,0.5442424242424242,0,0,1.0,1.0,1,0.0,449,0.9452631578947368,26,0,0,0.03151515151515152,0,2105,2933,0.5757575757575757,2107
conv2d_d1_s1_3x3,4x4xf64,linalg,752,2832,2829,0.0,0,144,145,0,0.19281914893617022,0.562015503875969,258,0,0,0.34308510638297873,0,0,1.0,1.0,1,3.75,258,0.671875,126,15,4,0.1675531914893617,48,2081,2836,0.5106382978723405,2083
conv2d_d1_s1_3x3,4x4xf64,linalg_xdsl,248,2325,2322,0.0,0,144,178,0,0.717741935483871,0.9888888888888889,180,0,0,0.7258064516129032,0,0,3.214285714285714,3.2142857142857144,1,0.0,56,0.47058823529411764,63,0,0,0.2540322580645161,0,2078,2329,0.9798387096774194,2080
ddot,128xf64,baseline,924,3082,3079,0.0,0,128,129,0,0.1396103896103896,0.3333333333333333,387,0,0,0.41883116883116883,0,0,1.0,1.0,1,0.0,387,0.4271523178807947,519,0,0,0.5616883116883117,0,2159,3086,0.9805194805194806,2161
ddot,128xf64,linalg,924,3094,3091,0.0,0,128,130,0,0.1406926406926407,0.3359173126614987,387,0,0,0.41883116883116883,0,0,1.0,1.0,1,0.0,387,0.42668136714443217,520,0,0,0.5627705627705628,0,2171,3098,0.9816017316017316,2173
ddot,128xf64,riscv_scf,1304,3479,3476,0.0,0,0,257,0,0.19708588957055215,0.49902912621359224,515,0,0,0.39493865030674846,0,0,1.0,1.0,1,0.0,515,0.49662487945998074,522,0,0,0.4003067484662577,0,2176,3483,0.7952453987730062,2178
ddot,128xf64,scf,924,3094,3091,0.0,0,128,129,0,0.1396103896103896,0.3333333333333333,387,0,0,0.41883116883116883,0,0,1.0,1.0,1,0.0,387,0.42668136714443217,520,0,0,0.5627705627705628,0,2171,3098,0.9816017316017316,2173
ddot,128xf64,snitch_stream,177,2319,2316,0.0,0,128,136,0,0.768361581920904,0.9784172661870504,139,0,0,0.7853107344632768,0,0,8.6875,8.6875,1,0.0,16,0.5,16,0,0,0.0903954802259887,0,2143,2323,0.8757062146892656,2145
ddot,128xf64,snrt,546,2716,2713,0.0,0,128,129,0,0.23626373626373626,0.9699248120300752,133,0,0,0.24358974358974358,0,0,19.0,19.0,1,0.0,7,0.3888888888888889,11,0,0,0.020146520146520148,0,2171,2720,0.26373626373626374,2173
dense,8x8xf64,baseline,5551,7635,7632,0.0,0,448,642,0,0.11565483696631237,0.2570056044835869,2498,0,0,0.4500090073860566,0,0,1.0,1.0,1,5.0,2498,0.8184796854521625,554,25,5,0.09980183750675554,133,2085,7639,0.5498108448928122,2087
dense,8x8xf64,fused,3357,5470,5467,0.0,0,448,642,0,0.19124218051831993,0.35785953177257523,1794,0,0,0.5344057193923145,0,0,1.0,1.0,1,0.0,1794,0.9723577235772358,51,0,0,0.01519213583556747,0,2114,5474,0.549597855227882,2116
dense,8x8xf64,linalg,3843,5956,5953,0.0,0,512,642,0,0.16705698672911787,0.36539556061468415,1757,0,0,0.45719489981785066,0,0,1.0,1.0,1,4.833333333333333,1757,0.8529126213592233,303,29,6,0.07884465261514442,134,2114,5960,0.5360395524329951,2116
dense,8x8xf64,snitch_stream,2693,4830,4827,0.0,0,512,706,0,0.2621611585592276,0.9145077720207254,772,0,0,0.2866691422205718,0,0,1.9896907216494844,1.9896907216494846,1,0.0,388,0.5623188405797102,302,0,0,0.11214259190493873,0,2138,4834,0.3988117341255106,2140
dense,8x8xf64,snrt,2673,4794,4791,0.0,0,512,706,0,0.26412270856715303,0.9145077720207254,772,0,0,0.2888140665918444,0,0,1.9896907216494844,1.9896907216494846,1,0.0,388,0.7744510978043913,113,0,0,0.04227459783015339,0,2122,4798,0.3310886644219978,2124
fill,4x4xf64,baseline,35,2087,2084,0.0,0,0,1,0,0.02857142857142857,0.058823529411764705,17,0,0,0.4857142857142857,0,0,1.0,1.0,1,0.0,17,0.7391304347826086,6,0,0,0.17142857142857143,0,2053,2091,0.6571428571428571,2055
