kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
conv2d_d1_s1_3x3 12x12xf64,7373,6726,2449,,
conv2d_d1_s1_3x3 12x16xf64,9817,8934,3034,,
conv2d_d1_s1_3x3 12x20xf64,12265,11149,3554,,
conv2d_d1_s1_3x3 12x4xf64,2445,2084,628,,
conv2d_d1_s1_3x3 12x8xf64,4925,4518,1930,,
conv2d_d1_s1_3x3 16x12xf64,9817,8934,3257,,
conv2d_d1_s1_3x3 16x16xf64,13081,11885,4026,,
conv2d_d1_s1_3x3 16x20xf64,16345,14829,4730,,
conv2d_d1_s1_3x3 16x4xf64,3258,2748,812,,
conv2d_d1_s1_3x3 16x8xf64,6557,5990,2562,,
conv2d_d1_s1_3x3 20x12xf64,12265,11149,4066,,
conv2d_d1_s1_3x3 20x16xf64,16345,14829,5026,,
conv2d_d1_s1_3x3 20x20xf64,20425,18509,5906,,
conv2d_d1_s1_3x3 20x4xf64,4061,3412,996,,
conv2d_d1_s1_3x3 20x8xf64,8189,7462,3194,,
conv2d_d1_s1_3x3 4x12xf64,2479,2303,833,,
conv2d_d1_s1_3x3 4x16xf64,3295,3035,1034,,
conv2d_d1_s1_3x3 4x20xf64,4111,3767,1202,,
conv2d_d1_s1_3x3 4x4xf64,825,752,248,,
conv2d_d1_s1_3x3 4x8xf64,1663,1436,666,,
conv2d_d1_s1_3x3 8x12xf64,4925,4518,1641,,
conv2d_d1_s1_3x3 8x16xf64,6557,5990,2034,,
conv2d_d1_s1_3x3 8x20xf64,8189,7462,2378,,
conv2d_d1_s1_3x3 8x4xf64,1642,1420,444,,
conv2d_d1_s1_3x3 8x8xf64,3293,3046,1298,,
ddot 128xf64,924,924,,177,546
dense 8x8xf64,5551,3843,,2693,2673
exp 112xf16,11232,,,,
exp 112xf32,10558,,,,
exp 112xf64,12022,,,,
exp 16xf16,1636,,,,
exp 16xf32,1542,,,,
exp 16xf64,1748,,,,
exp 32xf16,3236,,,,
exp 32xf32,3047,,,,
exp 32xf64,3467,,,,
exp 48xf16,4832,,,,
exp 48xf32,4551,,,,
exp 48xf64,5189,,,,
exp 64xf16,6432,,,,
exp 64xf32,6046,,,,
exp 64xf64,6886,,,,
exp 80xf16,8032,,,,
exp 80xf32,7550,,,,
exp 80xf64,8598,,,,
exp 96xf16,9632,,,,
exp 96xf32,9054,,,,
exp 96xf64,10310,,,,
fill 12x12xf64,201,201,175,,
fill 12x16xf64,242,242,223,,
fill 12x20xf64,289,289,271,,
fill 12x4xf64,59,59,79,,
fill 12x8xf64,154,154,127,,
fill 16x12xf64,261,261,223,,
fill 16x16xf64,321,321,287,,
fill 16x20xf64,381,381,351,,
fill 16x4xf64,75,75,95,,
fill 16x8xf64,198,198,159,,
fill 20x12xf64,321,321,271,,
fill 20x16xf64,401,401,351,,
fill 20x20xf64,473,473,431,,
fill 20x4xf64,91,91,111,,
fill 20x8xf64,242,242,191,,
fill 4x12xf64,59,59,79,,
fill 4x16xf64,75,75,95,,
fill 4x20xf64,91,91,111,,
fill 4x4xf64,35,35,39,,
fill 4x8xf64,43,43,63,,
fill 8x12xf64,109,109,127,,
fill 8x16xf64,141,141,159,,
fill 8x20xf64,173,173,191,,
fill 8x4xf64,43,43,63,,
fill 8x8xf64,75,75,95,,
matmul 1x12x12xf64,821,,224,,
matmul 1x12x16xf64,1087,,286,,
matmul 1x12x20xf64,1355,,342,,
matmul 1x12x24xf64,1639,,414,,
matmul 1x12x28xf64,1900,,476,,
matmul 1x12x32xf64,2171,,524,,
matmul 1x12x36xf64,2439,,585,,
matmul 1x12x40xf64,2708,,642,,
matmul 1x12x44xf64,2980,,698,,
matmul 1x12x48xf64,3248,,757,,
matmul 1x12x4xf64,286,,97,,
matmul 1x12x52xf64,3516,,814,,
matmul 1x12x56xf64,3784,,861,,
matmul 1x12x60xf64,4052,,929,,
matmul 1x12x64xf64,4320,,988,,
matmul 1x12x8xf64,551,,170,,
matmul 1x16x12xf64,1073,,272,,
matmul 1x16x16xf64,1430,,355,,
matmul 1x16x20xf64,1788,,437,,
matmul 1x16x24xf64,2133,,510,,
matmul 1x16x28xf64,2504,,588,,
matmul 1x16x32xf64,2838,,652,,
matmul 1x16x36xf64,3190,,729,,
matmul 1x16x40xf64,3554,,802,,
matmul 1x16x44xf64,3907,,874,,
matmul 1x16x48xf64,4259,,949,,
matmul 1x16x4xf64,370,,113,,
matmul 1x16x52xf64,4606,,1022,,
matmul 1x16x56xf64,4958,,1085,,
matmul 1x16x60xf64,5310,,1169,,
matmul 1x16x64xf64,5662,,1244,,
matmul 1x16x8xf64,721,,202,,
matmul 1x200x5xf64,,,1056,,
matmul 1x20x12xf64,1329,,337,,
matmul 1x20x16xf64,1771,,435,,
matmul 1x20x20xf64,2202,,517,,
matmul 1x20x24xf64,2653,,598,,
matmul 1x20x28xf64,3090,,700,,
matmul 1x20x32xf64,3513,,780,,
matmul 1x20x36xf64,3949,,873,,
matmul 1x20x40xf64,4382,,962,,
matmul 1x20x44xf64,4834,,1051,,
matmul 1x20x48xf64,5270,,1141,,
matmul 1x20x4xf64,458,,129,,
matmul 1x20x52xf64,5701,,1230,,
matmul 1x20x56xf64,6137,,1309,,
matmul 1x20x60xf64,6573,,1409,,
matmul 1x20x64xf64,7012,,1500,,
matmul 1x20x8xf64,894,,234,,
matmul 1x24x12xf64,1592,,389,,
matmul 1x24x16xf64,2105,,499,,
matmul 1x24x20xf64,2623,,598,,
