kernels,linalg_xdsl
matmul_transb 1x30x1xf64,157
matmul_transb 1x30x2xf64,175
matmul_transb 1x30x3xf64,170
matmul_transb 1x30x4xf64,192
matmul_transb 1x30x5xf64,212
matmul_transb 1x30x6xf64,246
matmul_transb 1x30x7xf64,278
matmul_transb 1x30x8xf64,314
matmul_transb 1x30x9xf64,442
matmul_transb 1x31x1xf64,161
matmul_transb 1x31x2xf64,179
matmul_transb 1x31x3xf64,174
matmul_transb 1x31x4xf64,196
matmul_transb 1x31x5xf64,217
matmul_transb 1x31x6xf64,252
matmul_transb 1x31x7xf64,285
matmul_transb 1x31x8xf64,322
matmul_transb 1x31x9xf64,454
matmul_transb 1x32x1xf64,165
matmul_transb 1x32x2xf64,183
matmul_transb 1x32x3xf64,178
matmul_transb 1x32x4xf64,200
matmul_transb 1x32x5xf64,222
matmul_transb 1x32x6xf64,258
matmul_transb 1x32x7xf64,291
matmul_transb 1x32x8xf64,330
matmul_transb 1x32x9xf64,466
matmul_transb 1x33x1xf64,169
matmul_transb 1x33x2xf64,187
matmul_transb 1x33x3xf64,182
matmul_transb 1x33x4xf64,204
matmul_transb 1x33x5xf64,227
matmul_transb 1x33x6xf64,264
matmul_transb 1x33x7xf64,298
matmul_transb 1x33x8xf64,338
matmul_transb 1x33x9xf64,478
matmul_transb 1x34x1xf64,173
matmul_transb 1x34x2xf64,191
matmul_transb 1x34x3xf64,186
matmul_transb 1x34x4xf64,208
matmul_transb 1x34x5xf64,232
matmul_transb 1x34x6xf64,270
matmul_transb 1x34x7xf64,305
matmul_transb 1x34x8xf64,346
matmul_transb 1x34x9xf64,490
matmul_transb 1x35x1xf64,177
matmul_transb 1x35x2xf64,195
matmul_transb 1x35x3xf64,190
matmul_transb 1x35x4xf64,212
matmul_transb 1x35x5xf64,237
matmul_transb 1x35x6xf64,276
matmul_transb 1x35x7xf64,312
matmul_transb 1x35x8xf64,354
matmul_transb 1x35x9xf64,502
matmul_transb 1x36x1xf64,181
matmul_transb 1x36x2xf64,199
matmul_transb 1x36x3xf64,194
matmul_transb 1x36x4xf64,216
matmul_transb 1x36x5xf64,242
matmul_transb 1x36x6xf64,273
matmul_transb 1x36x7xf64,319
matmul_transb 1x36x8xf64,362
matmul_transb 1x36x9xf64,514
matmul_transb 1x37x1xf64,185
matmul_transb 1x37x2xf64,203
matmul_transb 1x37x3xf64,198
matmul_transb 1x37x4xf64,220
matmul_transb 1x37x5xf64,247
matmul_transb 1x37x6xf64,299
matmul_transb 1x37x7xf64,326
matmul_transb 1x37x8xf64,370
matmul_transb 1x37x9xf64,526
matmul_transb 1x38x1xf64,189
matmul_transb 1x38x2xf64,207
matmul_transb 1x38x3xf64,202
matmul_transb 1x38x4xf64,224
matmul_transb 1x38x5xf64,252
matmul_transb 1x38x6xf64,305
matmul_transb 1x38x7xf64,333
matmul_transb 1x38x8xf64,378
matmul_transb 1x38x9xf64,538
matmul_transb 1x39x1xf64,193
matmul_transb 1x39x2xf64,211
matmul_transb 1x39x3xf64,206
matmul_transb 1x39x4xf64,228
matmul_transb 1x39x5xf64,257
matmul_transb 1x39x6xf64,311
matmul_transb 1x39x7xf64,340
matmul_transb 1x39x8xf64,386
matmul_transb 1x39x9xf64,550
