kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
conv2d_d1_s1_3x3 12x12xf64,0.22,0.19,0.63,,
conv2d_d1_s1_3x3 12x16xf64,0.22,0.20,0.69,,
conv2d_d1_s1_3x3 12x20xf64,0.22,0.20,0.73,,
conv2d_d1_s1_3x3 12x4xf64,0.23,0.20,0.79,,
conv2d_d1_s1_3x3 12x8xf64,0.22,0.19,0.54,,
conv2d_d1_s1_3x3 16x12xf64,0.22,0.20,0.63,,
conv2d_d1_s1_3x3 16x16xf64,0.22,0.20,0.69,,
conv2d_d1_s1_3x3 16x20xf64,0.22,0.20,0.73,,
conv2d_d1_s1_3x3 16x4xf64,0.23,0.20,0.83,,
conv2d_d1_s1_3x3 16x8xf64,0.22,0.19,0.54,,
conv2d_d1_s1_3x3 20x12xf64,0.22,0.20,0.64,,
conv2d_d1_s1_3x3 20x16xf64,0.22,0.20,0.69,,
conv2d_d1_s1_3x3 20x20xf64,0.22,0.20,0.73,,
conv2d_d1_s1_3x3 20x4xf64,0.23,0.21,0.85,,
conv2d_d1_s1_3x3 20x8xf64,0.22,0.19,0.54,,
conv2d_d1_s1_3x3 4x12xf64,0.21,0.19,0.59,,
conv2d_d1_s1_3x3 4x16xf64,0.22,0.19,0.66,,
conv2d_d1_s1_3x3 4x20xf64,0.22,0.19,0.70,,
conv2d_d1_s1_3x3 4x4xf64,0.22,0.17,0.58,,
conv2d_d1_s1_3x3 4x8xf64,0.23,0.19,0.50,,
conv2d_d1_s1_3x3 8x12xf64,0.22,0.19,0.62,,
conv2d_d1_s1_3x3 8x16xf64,0.22,0.19,0.68,,
conv2d_d1_s1_3x3 8x20xf64,0.22,0.19,0.72,,
conv2d_d1_s1_3x3 8x4xf64,0.23,0.19,0.73,,
conv2d_d1_s1_3x3 8x8xf64,0.21,0.19,0.53,,
ddot 128xf64,0.13,0.13,,0.64,0.22
dense 8x8xf64,0.20,0.18,,0.26,0.26
fill 12x12xf64,0.00,0.00,0.74,,
fill 12x16xf64,0.00,0.00,0.80,,
fill 12x20xf64,0.00,0.00,0.83,,
fill 12x4xf64,0.01,0.01,0.50,,
fill 12x8xf64,0.01,0.01,0.66,,
fill 16x12xf64,0.00,0.00,0.80,,
fill 16x16xf64,0.00,0.00,0.84,,
fill 16x20xf64,0.00,0.00,0.87,,
fill 16x4xf64,0.01,0.01,0.57,,
fill 16x8xf64,0.00,0.00,0.72,,
fill 20x12xf64,0.00,0.00,0.83,,
fill 20x16xf64,0.00,0.00,0.87,,
fill 20x20xf64,0.00,0.00,0.89,,
fill 20x4xf64,0.01,0.01,0.62,,
fill 20x8xf64,0.00,0.00,0.76,,
fill 4x12xf64,0.01,0.01,0.50,,
fill 4x16xf64,0.01,0.01,0.57,,
fill 4x20xf64,0.01,0.01,0.62,,
fill 4x4xf64,0.02,0.02,0.28,,
fill 4x8xf64,0.01,0.01,0.40,,
fill 8x12xf64,0.01,0.01,0.66,,
fill 8x16xf64,0.00,0.00,0.72,,
fill 8x20xf64,0.00,0.00,0.76,,
fill 8x4xf64,0.01,0.01,0.40,,
fill 8x8xf64,0.01,0.01,0.57,,
matmul 1x12x12xf64,0.20,,0.62,,
matmul 1x12x16xf64,0.20,,0.64,,
matmul 1x12x20xf64,0.21,,0.71,,
matmul 1x12x24xf64,0.21,,0.74,,
matmul 1x12x28xf64,0.21,,0.76,,
matmul 1x12x32xf64,0.21,,0.78,,
matmul 1x12x36xf64,0.21,,0.79,,
matmul 1x12x40xf64,0.21,,0.81,,
matmul 1x12x44xf64,0.21,,0.83,,
matmul 1x12x48xf64,0.21,,0.84,,
matmul 1x12x4xf64,0.18,,0.46,,
matmul 1x12x52xf64,0.21,,0.85,,
