kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
conv2d_d1_s1_3x3 4x4xf64,0.10,0.10,0.70,,
ddot 128xf64,0.10,0.10,,0.70,0.20
dense 8x8xf64,0.10,0.10,,0.20,0.20
fill 4x4xf64,0.02,0.02,0.40,,
fill 4x8xf32,0.02,0.02,0.30,,
matmul 4x16x8xf64,0.10,0.10,0.80,,
matmul_transb 4x16x16xf32,0.10,0.20,,0.80,0.80
matmul_transb 4x16x16xf64,,0.20,0.90,,
pooling_nchw_max_d1_s2_3x3 4x4xf64,0.30,0.30,0.70,,
pooling_nchw_sum_d1_s2_3x3 4x4xf64,0.20,0.10,0.70,,
relu 4x4xf64,0.10,0.20,0.30,,
relu 4x8xf32,0.20,0.20,,0.30,0.40
saxpy 64xf32,0.10,0.10,,,0.60
sum 4x4xf64,0.10,0.10,0.30,,
sum 4x8xf32,0.10,0.10,0.30,,0.30
sum 8x8xf16,0.20,,0.20,,
