kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
conv2d_d1_s1_3x3 12x12xf64,0.57,0.60,0.95,,
conv2d_d1_s1_3x3 12x16xf64,0.57,0.60,0.96,,
conv2d_d1_s1_3x3 12x20xf64,0.57,0.60,0.97,,
conv2d_d1_s1_3x3 12x4xf64,0.40,0.46,0.93,,
conv2d_d1_s1_3x3 12x8xf64,0.57,0.61,0.93,,
conv2d_d1_s1_3x3 16x12xf64,0.57,0.61,0.95,,
conv2d_d1_s1_3x3 16x16xf64,0.57,0.60,0.97,,
conv2d_d1_s1_3x3 16x20xf64,0.57,0.60,0.97,,
conv2d_d1_s1_3x3 16x4xf64,0.41,0.47,0.95,,
conv2d_d1_s1_3x3 16x8xf64,0.57,0.61,0.93,,
conv2d_d1_s1_3x3 20x12xf64,0.57,0.61,0.96,,
conv2d_d1_s1_3x3 20x16xf64,0.57,0.61,0.97,,
conv2d_d1_s1_3x3 20x20xf64,0.57,0.60,0.98,,
conv2d_d1_s1_3x3 20x4xf64,0.41,0.47,0.96,,
conv2d_d1_s1_3x3 20x8xf64,0.57,0.61,0.94,,
conv2d_d1_s1_3x3 4x12xf64,0.56,0.59,0.91,,
conv2d_d1_s1_3x3 4x16xf64,0.56,0.59,0.93,,
conv2d_d1_s1_3x3 4x20xf64,0.56,0.60,0.94,,
conv2d_d1_s1_3x3 4x4xf64,0.40,0.45,0.80,,
conv2d_d1_s1_3x3 4x8xf64,0.49,0.52,0.88,,
conv2d_d1_s1_3x3 8x12xf64,0.57,0.60,0.94,,
conv2d_d1_s1_3x3 8x16xf64,0.57,0.60,0.95,,
conv2d_d1_s1_3x3 8x20xf64,0.56,0.60,0.96,,
conv2d_d1_s1_3x3 8x4xf64,0.40,0.46,0.89,,
conv2d_d1_s1_3x3 8x8xf64,0.57,0.60,0.91,,
ddot 128xf64,0.95,0.94,,0.74,0.25
dense 8x8xf64,0.51,0.55,,0.39,0.33
fill 12x12xf64,0.90,0.90,0.83,,
fill 12x16xf64,0.83,0.83,0.86,,
fill 12x20xf64,0.92,0.92,0.88,,
fill 12x4xf64,0.52,0.52,0.66,,
fill 12x8xf64,0.76,0.76,0.77,,
fill 16x12xf64,0.92,0.92,0.86,,
fill 16x16xf64,0.91,0.91,0.90,,
fill 16x20xf64,0.94,0.94,0.91,,
fill 16x4xf64,0.55,0.55,0.71,,
fill 16x8xf64,0.80,0.80,0.81,,
fill 20x12xf64,0.94,0.94,0.88,,
fill 20x16xf64,0.92,0.92,0.91,,
fill 20x20xf64,0.95,0.95,0.93,,
fill 20x4xf64,0.56,0.56,0.74,,
fill 20x8xf64,0.83,0.83,0.84,,
fill 4x12xf64,0.52,0.52,0.66,,
fill 4x16xf64,0.55,0.55,0.71,,
fill 4x20xf64,0.56,0.56,0.74,,
fill 4x4xf64,0.46,0.46,0.53,,
fill 4x8xf64,0.53,0.53,0.60,,
fill 8x12xf64,0.58,0.58,0.77,,
fill 8x16xf64,0.57,0.57,0.81,,
fill 8x20xf64,0.61,0.61,0.84,,
fill 8x4xf64,0.53,0.53,0.60,,
fill 8x8xf64,0.55,0.55,0.71,,
matmul 1x12x12xf64,0.51,,0.83,,
matmul 1x12x16xf64,0.50,,0.80,,
matmul 1x12x20xf64,0.51,,0.87,,
matmul 1x12x24xf64,0.52,,0.89,,
matmul 1x12x28xf64,0.52,,0.89,,
matmul 1x12x32xf64,0.52,,0.90,,
matmul 1x12x36xf64,0.52,,0.91,,
matmul 1x12x40xf64,0.52,,0.92,,
matmul 1x12x44xf64,0.54,,0.94,,
matmul 1x12x48xf64,0.54,,0.94,,
matmul 1x12x4xf64,0.48,,0.74,,
matmul 1x12x52xf64,0.54,,0.95,,
matmul 1x12x56xf64,0.54,,0.95,,
matmul 1x12x60xf64,0.54,,0.96,,
matmul 1x12x64xf64,0.54,,0.96,,
matmul 1x12x8xf64,0.52,,0.75,,
matmul 1x16x12xf64,0.51,,0.86,,
matmul 1x16x16xf64,0.50,,0.86,,
matmul 1x16x20xf64,0.51,,0.89,,
matmul 1x16x24xf64,0.51,,0.91,,
matmul 1x16x28xf64,0.51,,0.91,,
matmul 1x16x32xf64,0.52,,0.93,,
matmul 1x16x36xf64,0.52,,0.94,,
matmul 1x16x40xf64,0.54,,0.94,,
matmul 1x16x44xf64,0.54,,0.95,,
matmul 1x16x48xf64,0.54,,0.95,,
matmul 1x16x4xf64,0.50,,0.77,,
matmul 1x16x52xf64,0.55,,0.96,,
matmul 1x16x56xf64,0.55,,0.96,,
matmul 1x16x60xf64,0.55,,0.96,,
matmul 1x16x64xf64,0.57,,0.97,,
matmul 1x16x8xf64,0.51,,0.78,,
matmul 1x200x5xf64,,,0.94,,
matmul 1x20x12xf64,0.50,,0.81,,
matmul 1x20x16xf64,0.50,,0.85,,
matmul 1x20x20xf64,0.50,,0.91,,
matmul 1x20x24xf64,0.50,,0.92,,
matmul 1x20x28xf64,0.52,,0.93,,
matmul 1x20x32xf64,0.53,,0.94,,
matmul 1x20x36xf64,0.52,,0.95,,
matmul 1x20x40xf64,0.52,,0.95,,
matmul 1x20x44xf64,0.54,,0.96,,
matmul 1x20x48xf64,0.54,,0.96,,
matmul 1x20x4xf64,0.50,,0.79,,
matmul 1x20x52xf64,0.56,,0.96,,
matmul 1x20x56xf64,0.56,,0.97,,
matmul 1x20x60xf64,0.56,,0.97,,
