kernels,linalg_xdsl
matmul_transb 1x30x1xf64,0.41
matmul_transb 1x30x2xf64,0.59
matmul_transb 1x30x3xf64,0.79
matmul_transb 1x30x4xf64,0.87
matmul_transb 1x30x5xf64,0.94
matmul_transb 1x30x6xf64,0.94
matmul_transb 1x30x7xf64,0.95
matmul_transb 1x30x8xf64,0.99
matmul_transb 1x30x9xf64,0.78
matmul_transb 1x31x1xf64,0.41
matmul_transb 1x31x2xf64,0.59
matmul_transb 1x31x3xf64,0.79
matmul_transb 1x31x4xf64,0.87
matmul_transb 1x31x5xf64,0.94
matmul_transb 1x31x6xf64,0.94
matmul_transb 1x31x7xf64,0.95
matmul_transb 1x31x8xf64,0.99
matmul_transb 1x31x9xf64,0.78
matmul_transb 1x32x1xf64,0.41
matmul_transb 1x32x2xf64,0.58
matmul_transb 1x32x3xf64,0.79
matmul_transb 1x32x4xf64,0.88
matmul_transb 1x32x5xf64,0.94
matmul_transb 1x32x6xf64,0.94
matmul_transb 1x32x7xf64,0.95
matmul_transb 1x32x8xf64,0.99
matmul_transb 1x32x9xf64,0.78
matmul_transb 1x33x1xf64,0.40
matmul_transb 1x33x2xf64,0.58
matmul_transb 1x33x3xf64,0.79
matmul_transb 1x33x4xf64,0.88
matmul_transb 1x33x5xf64,0.94
matmul_transb 1x33x6xf64,0.94
matmul_transb 1x33x7xf64,0.95
matmul_transb 1x33x8xf64,0.99
matmul_transb 1x33x9xf64,0.78
matmul_transb 1x34x1xf64,0.40
matmul_transb 1x34x2xf64,0.58
matmul_transb 1x34x3xf64,0.79
matmul_transb 1x34x4xf64,0.88
matmul_transb 1x34x5xf64,0.94
matmul_transb 1x34x6xf64,0.94
matmul_transb 1x34x7xf64,0.95
matmul_transb 1x34x8xf64,0.99
matmul_transb 1x34x9xf64,0.78
matmul_transb 1x35x1xf64,0.40
matmul_transb 1x35x2xf64,0.58
matmul_transb 1x35x3xf64,0.79
matmul_transb 1x35x4xf64,0.88
matmul_transb 1x35x5xf64,0.95
matmul_transb 1x35x6xf64,0.95
matmul_transb 1x35x7xf64,0.96
matmul_transb 1x35x8xf64,0.99
matmul_transb 1x35x9xf64,0.78
matmul_transb 1x36x1xf64,0.39
matmul_transb 1x36x2xf64,0.58
matmul_transb 1x36x3xf64,0.79
matmul_transb 1x36x4xf64,0.88
matmul_transb 1x36x5xf64,0.95
matmul_transb 1x36x6xf64,0.98
matmul_transb 1x36x7xf64,0.96
matmul_transb 1x36x8xf64,0.99
matmul_transb 1x36x9xf64,0.78
matmul_transb 1x37x1xf64,0.39
matmul_transb 1x37x2xf64,0.58
matmul_transb 1x37x3xf64,0.79
matmul_transb 1x37x4xf64,0.89
matmul_transb 1x37x5xf64,0.95
matmul_transb 1x37x6xf64,0.91
matmul_transb 1x37x7xf64,0.96
matmul_transb 1x37x8xf64,0.99
matmul_transb 1x37x9xf64,0.78
matmul_transb 1x38x1xf64,0.39
matmul_transb 1x38x2xf64,0.57
matmul_transb 1x38x3xf64,0.79
matmul_transb 1x38x4xf64,0.89
matmul_transb 1x38x5xf64,0.95
matmul_transb 1x38x6xf64,0.91
matmul_transb 1x38x7xf64,0.96
matmul_transb 1x38x8xf64,0.99
matmul_transb 1x38x9xf64,0.78
matmul_transb 1x39x1xf64,0.38
matmul_transb 1x39x2xf64,0.57
matmul_transb 1x39x3xf64,0.79
matmul_transb 1x39x4xf64,0.89
matmul_transb 1x39x5xf64,0.95
matmul_transb 1x39x6xf64,0.92
matmul_transb 1x39x7xf64,0.96
matmul_transb 1x39x8xf64,0.99
matmul_transb 1x39x9xf64,0.78
