kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
conv2d_d1_s1_3x3 4x4xf64,0.58,0.51,0.98,,
ddot 128xf64,0.98,0.98,,0.88,0.26
dense 8x8xf64,0.55,0.54,,0.40,0.33
fill 4x4xf64,0.66,0.66,0.87,,
fill 4x8xf32,0.91,0.91,0.72,,
matmul 4x16x8xf64,0.63,0.56,0.98,,
matmul_transb 4x16x16xf32,0.88,0.55,,1.10,0.99
matmul_transb 4x16x16xf64,,0.56,1.01,,
pooling_nchw_max_d1_s2_3x3 4x4xf64,0.72,0.74,1.02,,
pooling_nchw_sum_d1_s2_3x3 4x4xf64,0.49,0.49,0.99,,
relu 4x4xf64,0.50,0.70,0.76,,
relu 4x8xf32,0.41,0.72,,0.75,0.74
saxpy 64xf32,0.99,0.99,,,0.90
sum 4x4xf64,0.46,0.70,0.87,,
sum 4x8xf32,0.44,0.69,0.76,,0.75
sum 8x8xf16,0.79,,0.66,,
