kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
conv2d_d1_s1_3x3 4x4xf64,0.40,0.45,0.80,,
ddot 128xf64,0.95,0.94,,0.74,0.25
dense 8x8xf64,0.51,0.55,,0.39,0.33
fill 4x4xf64,0.46,0.46,0.53,,
fill 4x8xf32,0.53,0.53,0.50,,
matmul 4x16x8xf64,0.56,0.58,0.93,,
matmul_transb 4x16x16xf32,0.99,0.57,,1.06,0.97
matmul_transb 4x16x16xf64,,0.57,1.01,,
pooling_nchw_max_d1_s2_3x3 4x4xf64,0.67,0.61,0.84,,
pooling_nchw_sum_d1_s2_3x3 4x4xf64,0.40,0.43,0.84,,
relu 4x4xf64,0.40,0.46,0.53,,
relu 4x8xf32,0.57,0.51,,0.57,0.40
saxpy 64xf32,0.93,0.93,,,0.65
sum 4x4xf64,0.57,0.46,0.46,,
sum 4x8xf32,0.58,0.56,0.46,,0.47
sum 8x8xf16,0.95,,0.62,,
