impl,params,excluded_float,excluded_int,allocated_float,allocated_int
conv2d_d1_s1_3x3,4x4xf64,"['ft0', 'ft1', 'ft2']",[],8,7
ddot,128xf64,"['ft0', 'ft1', 'ft2']",[],6,7
dense,8x8xf64,"['ft0', 'ft1', 'ft2']",[],5,10
fill,4x4xf64,"['ft0', 'ft1', 'ft2']",[],3,3
fill,4x8xf32,"['ft0', 'ft1', 'ft2']",[],3,3
matmul,4x16x8xf64,"['ft0', 'ft1', 'ft2']",[],8,7
matmul_transb,4x16x16xf32,"['ft0', 'ft1', 'ft2']",[],11,11
matmul_transb,4x16x16xf64,"['ft0', 'ft1', 'ft2']",[],8,7
pooling_nchw_max_d1_s2_3x3,4x4xf64,"['ft0', 'ft1', 'ft2']",[],7,6
pooling_nchw_sum_d1_s2_3x3,4x4xf64,"['ft0', 'ft1', 'ft2']",[],7,6
relu,4x4xf64,"['ft0', 'ft1', 'ft2']",[],3,5
relu,4x8xf32,"['ft0', 'ft1', 'ft2']",[],3,5
sum,4x4xf64,"['ft0', 'ft1', 'ft2']",[],3,7
sum,4x8xf32,"['ft0', 'ft1', 'ft2']",[],3,7
sum,8x8xf16,"['ft0', 'ft1', 'ft2']",[],3,7
