kd[0]=6.755399e+15 w[0]=1.001533
kd[1]=6.755399e+15 w[1]=0.993301
kd[2]=6.755399e+15 w[2]=0.997490
kd[3]=6.755399e+15 w[3]=1.009615
kd[4]=6.755399e+15 w[4]=0.989412
kd[5]=6.755399e+15 w[5]=0.993688
kd[6]=6.755399e+15 w[6]=1.008106
kd[7]=6.755399e+15 w[7]=0.994249
kd[8]=6.755399e+15 w[8]=1.002415
kd[9]=6.755399e+15 w[9]=1.008236
kd[10]=6.755399e+15 w[10]=1.007762
kd[11]=6.755399e+15 w[11]=0.993080
kd[12]=6.755399e+15 w[12]=0.996265
kd[13]=6.755399e+15 w[13]=0.999219
kd[14]=6.755399e+15 w[14]=0.998419
kd[15]=6.755399e+15 w[15]=0.995380
kd[16]=6.755399e+15 w[16]=1.000124
kd[17]=6.755399e+15 w[17]=1.002519
kd[18]=6.755399e+15 w[18]=0.996304
kd[19]=6.755399e+15 w[19]=0.992263
kd[20]=6.755399e+15 w[20]=0.998273
kd[21]=6.755399e+15 w[21]=1.004788
kd[22]=6.755399e+15 w[22]=1.009422
kd[23]=6.755399e+15 w[23]=1.000424
kd[24]=6.755399e+15 w[24]=0.990156
kd[25]=6.755399e+15 w[25]=1.004180
kd[26]=6.755399e+15 w[26]=0.993506
kd[27]=6.755399e+15 w[27]=0.990812
kd[28]=6.755399e+15 w[28]=1.003756
kd[29]=6.755399e+15 w[29]=1.004456
kd[30]=6.755399e+15 w[30]=0.991552
kd[31]=6.755399e+15 w[31]=1.004489
kd[32]=6.755399e+15 w[32]=0.989496
kd[33]=6.755399e+15 w[33]=1.004054
kd[34]=6.755399e+15 w[34]=0.993236
kd[35]=6.755399e+15 w[35]=0.991712
kd[36]=6.755399e+15 w[36]=0.989244
kd[37]=6.755399e+15 w[37]=0.999308
kd[38]=6.755399e+15 w[38]=0.994031
kd[39]=6.755399e+15 w[39]=0.997387
kd[40]=6.755399e+15 w[40]=1.006087
kd[41]=6.755399e+15 w[41]=0.996973
kd[42]=6.755399e+15 w[42]=1.010403
kd[43]=6.755399e+15 w[43]=0.998815
kd[44]=6.755399e+15 w[44]=0.999564
kd[45]=6.755399e+15 w[45]=0.990390
kd[46]=6.755399e+15 w[46]=0.991138
kd[47]=6.755399e+15 w[47]=1.008231
kd[48]=6.755399e+15 w[48]=0.990953
kd[49]=6.755399e+15 w[49]=1.003489
kd[50]=6.755399e+15 w[50]=0.995988
kd[51]=6.755399e+15 w[51]=1.006721
kd[52]=6.755399e+15 w[52]=0.998435
kd[53]=6.755399e+15 w[53]=0.990474
kd[54]=6.755399e+15 w[54]=1.004313
kd[55]=6.755399e+15 w[55]=1.006054
kd[56]=6.755399e+15 w[56]=1.008019
kd[57]=6.755399e+15 w[57]=1.004516
kd[58]=6.755399e+15 w[58]=0.997704
kd[59]=6.755399e+15 w[59]=1.000472
kd[60]=6.755399e+15 w[60]=1.002563
kd[61]=6.755399e+15 w[61]=1.005423
kd[62]=6.755399e+15 w[62]=1.007457
kd[63]=6.755399e+15 w[63]=0.998384
